clinic_id,clinic_name,address,site_url,site_host,doctors_count,has_live_promo,live_promo_count,status,matched_source_impls,promo_sync_sources,robots_blocked_sources
f481eee3-7a32-44d8-922e-b92f22ea87de,Molecula,"Минск, Филимонова, 55/3",,,3,false,0,no_site_url,,,
fae6e1e7-e717-4d2d-9e44-b453dc52f590,My Smile,"Минск, ул. Первомайская, 8",,,2,false,0,no_site_url,,,
b5755fbd-6ba7-4f43-adec-333684d533d2,NewSkin,"Минск, ул. Притыцкого, 79",,,3,false,0,no_site_url,,,
01a62386-f9d8-41ae-a53f-09a96cc9b6ff,PRAXIS,"Минск, пр-т Победителей, 125",,,1,false,0,no_site_url,,,
4fe25468-64ea-446a-a1c5-f02dfed48c5c,Proud Clinic,"Минск, пр. Победителей, 135",,,2,false,0,no_site_url,,,
86245817-cb78-4406-b16d-920ea52a3196,RDC Roleva Dance Center,"Минск, ул. Притыцкого, 62/1",,,2,false,0,no_site_url,,,
442ffbfa-2e7f-4d20-a722-fe9f1fcd2b45,Roden,"Минск, пр-т Независимости, 94",,,7,false,0,no_site_url,,,
d60f7f4a-3721-4b1c-bf46-7580358077d0,Salve,"Минск, ул. Притыцкого, 29-529",,,6,false,0,no_site_url,,,
c4da1ab4-199a-43b9-b160-238eb0198aeb,SANTE,"Минск, ул. Тростенецкая, 3",,,38,false,0,source_in_sync_no_live_promo,sante,sante,
8427bbc8-2a75-45d5-a1cf-2c6233208564,SHEDO,"Минск, пр-т Дзержинского, 78",,,10,false,0,no_site_url,,,
bb40338a-b917-42cb-a41d-8258f4e28cb0,SKYDENT,"Минск, ул. Москвина, 4",,,3,false,0,no_site_url,,,
08c9f693-83db-4ad6-b266-1959b2a5aebe,SMART MEDICAL,Минск,https://smartmedical.by,smartmedical.by,13,false,0,source_in_sync_no_live_promo,smartmedical,smartmedical,
8790188d-4063-4f42-9484-e62e69793de9,Sport Science,"Минск, ул. Гусовского, 20А",,,5,false,0,no_site_url,,,
315f7b97-62b2-4989-ba5f-ea74efce80ca,Stomtravel,"Минск, ул. Денисовская, 5",,,2,false,0,no_site_url,,,
d8e377f8-0b28-4039-b4de-06baf391c8e6,Talk4life.online,"Минск, ул. Сурганова, 2",,,4,false,0,no_site_url,,,
17ea262f-4292-4286-976e-d9304b8132f5,Triomed Club,"Минск, пр-т Дзержинского, 20",,,6,false,0,no_site_url,,,
0f86c6b8-4e00-4dd3-aa9e-4a50cf77f6bc,Verba,"Минск, пр-т Независимости, 168/3",,,6,false,0,no_site_url,,,
f8178c33-4334-4589-9055-050f4ed6568c,VIVA,"Минск, ул. Ржавецкая, 3",,,2,false,0,no_site_url,,,
d629c33b-0758-4f5d-a408-069796fd1620,Vivaldi Medica,"Минск, ул. Янки Лучины, 7",,,12,false,0,no_site_url,,,
4d7506b0-4d76-4939-be92-3605c362f26a,VOKA CLINIC,"Минск, ул. Прилукская, 48",,,28,false,0,no_site_url,,,
d34be923-0b16-459a-a7ca-44c3d761bd1e,WaveDance,"Минск, ул. Филимонова, 55/2",,,1,false,0,no_site_url,,,
